descricao,correto,insumo_1
30 CAP | BUPROPIONA CLORIDRATO  150MG,39.9,BUPROPIONA CLORIDRATO
30 CAP | IODO  10MG; IODETO DE POTASSIO  15MG,39.9,IODO
30 CAP | BIFIDOBACTERIA BIFIDUM  100MG; BIFIDOBACTERIUM LACTIS  100MG; ACIDOPHILUS LACTOBACILLUS  100MG; BIFIDOBACTERIUM BREVE  100MG; CASEI LACTOBACILLUS  100MG; SALIVARIUS LACTOBACILLUS  100MG; LACTOCOCCUS LACTIS  200MG,80.5,BIFIDOBACTERIA BIFIDUM
30 CAP | TRIIODOTIRONINA SLOW RELEASE  5MCG,39.9,TRIIODOTIRONINA SLOW RELEASE
30 CAP | CHA VERDE EXT SECO  300MG; CROMO QUELADO  400MCG; GARCINIA CAMBOJA EXT SECO  500MG,51.7,CHA VERDE EXT SECO
30 CAP | ASCORBATO DE MAGNESIO  200MG; QUERCETINA  40MG,39.9,ASCORBATO DE MAGNESIO
60 CAP | CARBONATO DE CALCIO PESADO  500MG; VITAMINA D3 1:100  400UI,44.0,CARBONATO DE CALCIO PESADO
60 CAP | VITAMINA D3 1:100  2000UI,43.6,VITAMINA D3 1:100
90 CAP | DULOXETINA  15MG,120.3,DULOXETINA
90 CAP | SELEGILINA  5MG,65.9,SELEGILINA
30 CAP | BIOTINA  1MG,39.9,BIOTINA
30 CAP | TRAMADOL  50MG; PREGABALINA  40MG; DEFLAZACORT  5MG,90.0,TRAMADOL
60 CAP | TIAMINA  60MG; PANTOTENATO DE CALCIO  60MG; BIOTINA  5MG; PABA  20MG; LEVEDURA MEDICINAL  100MG; CISTEINA   100MG; METIONINA  100MG; QUERATINA   20MG,125.0,TIAMINA
60 CAP | L THEANINA  100MG; GRIFFONIA SIMPLICIFOLIA  100MG; MELISSA OFFICINALIS  200MG; MAGNESIO QUELADO   100MG,153.0,L THEANINA
60 CAP | TAURINA  500MG; MAGNESIO DIMALATO  400MG; COENZIMA Q10  100MG; CARNITINA L  500MG,212.1,TAURINA
60 CAP | ZINCO QUELATO  15MG; COBRE QUELATO 0.500MG; MANGANES QUELATO  2MG; SELENIO QUELATO  50MCG; QUERCETINA  250MG; CURCUMINA  250MG; PIPERINA  10MG; NAC  250MG; ACIDO ASCORBICO  500MG,208.9,ZINCO QUELATO
30 CAP | MAGNESIO TREONATO  100MG,39.9,MAGNESIO TREONATO
60 CAP | VITAMINA D3   2000UI,43.6,VITAMINA D3
40 CAP | VITAMINA D3   5000UI; VIT A   200UI; VITAMINA K2 MK7  100MCG,43.6,VITAMINA D3
30 CAP | VITAMINA A  600MCG; VITAMINA D2  5MCG; VITAMINA E  10MCG; VITAMINA C  45MCG; BIOTINA  45MCG; TIAMINA  20MG; RIBOFLAVINA  20MG; NIACINA  20MG; COBRE QUELADO  1MG; SELENIO QUELADO  50MCG; SILICIO ORGANICO  5MG; VITAMINA B5  5MG; VITAMINA B6 1.300MG; VITAMINA B12  4MCG; VITAMINA B9  5MG,39.9,VITAMINA A
60 CAP | QUETIAPINA   50MG,103.4,QUETIAPINA
60 CAP | CARB CALCIO 500MG+COLECAL 400U  60CAP,43.6,CARB CALCIO 500MG+COLECAL 400U
60 CAP | CAFEÍNA  250MG; TAURINA  100MG; VITAMINA C  300MG,75.9,CAFEÍNA
90 CAP | TIROXINA (T4) 1:1000  30MCG; TRIIODOTIRONINA (T3) 1:1000  6MCG,48.0,TIROXINA (T4) 1:1000
45 CAP | MELATONINA 1:10  5MG,75.0,MELATONINA 1:10
60 CAP | CARVAO ATIVADO  1000MG,59.0,CARVAO ATIVADO
60 CAP | VITAMINA D3 1:100  10000UI,43.6,VITAMINA D3 1:100
20 CAP | TAMOXIFENO CITRATO  20MG; ANASTROZOL 1:10 0.500MG; DIM  100MG; CRISINA  100MG,91.5,TAMOXIFENO CITRATO
30 CAP | SILIMARINA  300MG; ACIDO ALFA LIPOICO  200MG; CRUCUMINA  200MG; BOLDO  200MG; METIONINA  200MG; COENZIMA Q10 PO  200MG,232.7,SILIMARINA
30 CAP | TRIBULUS TERRESTRIS EXT SECO  250MG; MUCUNA EXT SECO  200MG; FENOGREGO  500MG,100.3,TRIBULUS TERRESTRIS EXT SECO
60 CAP | BROMELINA  500MG,122.4,BROMELINA
30 CAP | VITAMINA A  400UI; PIRIDOXAL-5-FOSFATO  6MG; COENZIMA Q10 PO  100MG; TAURINA  75MG,68.2,VITAMINA A
30 CAP | ACIDOPHILUS LACTOBACILLUS  450MG; BIFIDOBACTERIUM LACTIS  750MG; BIFIDOBACTERIUM BREVE  75MG; CASEI LACTOBACILLUS 37.500MG; LACTIS LACTOBACILLUS  30MG; BULGARICUS LACTOBACILLUS 7.500MG; RHAMNOSUS LACTOBACILLUS  15MG; PRETICX  500MG,138.8,ACIDOPHILUS LACTOBACILLUS
20 CAP | VITAMINA D3  50000UI,39.9,VITAMINA D3
40 CAP | MAGNESIO DIMALATO  150MG; CITRATO DE MAGNESIO  100MG; MAGNESIO GLICINA  100MG; ZINCO QUELADO  15MG; SELENIO QUELADO  50MCG; CROMO GTF  100MCG; COBRE QUELADO  750MCG; TIAMINA  50MG; RIBOFLAVINA  50MG; ACIDO PANTOTENICO  25MG; PIRIDOXAL-5-FOSFATO  10MG; METILFOLATO 1:10  150MCG; METILCOBALAMINA 1:100  100MCG; ACIDO ALFA LIPOICO  150MG; NAC  100MG,132.8,MAGNESIO DIMALATO
60 CAP | T3  5MCG; T4  25MCG,43.6,T3
30 CAP | T3  6MCG,39.9,T3
60 CAP | L TAURINA  100MG; THEANINA  150MG; 5-HTP  50MG; VALERIANA  150MG,126.1,L TAURINA
30 CAP | VITAMINA D3 1:100  15000UI,39.9,VITAMINA D3 1:100
120 CAP | CASTANHA DA INDIA  250MG; RUTINA  50MG,57.2,CASTANHA DA INDIA
100 CAP | VITAMINA D 3  5000UI,53.0,VITAMINA D 3
80 CAP | VITAMINA D3 1:100  10000UI; VITAMINA A  1000UI; ZINCO QUELADO  15MG; VITAMINA C  500MG; MAGNESIO DIMALATO  400MG; UC II  20MG; CALCIO QUELADO  500MG,318.0,VITAMINA D3 1:100
30 CAP | TRIPTOFANO  400MG; THEANINA  250MG; MAGNESIO QUELADO 30%  200MG; VIT B6  30MG,108.4,TRIPTOFANO
10 CAP | THEANINA  100MG; NADH (NADINA)  5MG; CARNITINA L  300MG,41.4,THEANINA
60 CAP | CITRATO DE POTASSIO  500MG; CITRATO DE MAGNESIO 113.300MG; ARCTOSTAPHYLOS UVA-URSI EXTRAT  40MG; PHYLLANTHUS NIRURI  150MG,45.0,CITRATO DE POTASSIO
30 CAP | PALMITATO DE RETINOL  5000UI; TOCOTRIENOL  100MG; VITAMINA D3 1:100  4000UI; VITAMINA K2 PÓ 1:10  65MCG; VITAMINA C REVESTIDA  100MG; VIT B1 1.200MG; PIRIDOXAL-5-FOSFATO  20MG; VIT B2 1.300MG; METILCOBALAMINA 1:100  1000MCG; NICOTINAMIDA  16MG; METILFOLATO 1:10  400MCG; FERRO QUELADO  30MG; SELENIO QUELADO  20MCG; ZINCO QUELADO  15MG; CROMO QUELADO  18MCG; MANGANES QUELADO 1.200MG; MAGNESIO QUELADO 30%  150MG; CALCIO QUELADO  250MG,151.0,PALMITATO DE RETINOL
60 CAP | MAGNESIO QUELADO 30%  260MG,52.0,MAGNESIO QUELADO 30%
180 CAP | CALCIO CITRATO MALATO  125MG; VITAMINA D3   1000UI; VITAMINA K2   15MCG; VITAMINA C   100MG; MAGNESIO DIMALATO  50MG,77.0,CALCIO CITRATO MALATO
90 CAP | VITAMINA D3 1:100  10000UI; VITAMINA A  1000UI,39.9,VITAMINA D3 1:100
60 CAP | PIRIDOXINA B6  50MG,44.0,PIRIDOXINA B6
30 CAP | ORLISTAT  60MG; ACARBOSE  25MG,85.0,ORLISTAT
240 CAP | IOIMBINA CLORIDRATO  5MG,61.0,IOIMBINA CLORIDRATO
30 CAP | METFORMINA  200MG,40.0,METFORMINA
100 CAP | PASSIFLORA INCARNATA   260MG,49.5,PASSIFLORA INCARNATA
60 CAP | VITAMINA D   20000UI; VITAMINA A   2000UI; VITAMINA K2 MK7  120MCG,43.6,VITAMINA D
120 CAP | BIFIDOBACTERIUM LONGUM  100MG; GASSERI LACTOBACILLUS  100MG; PLANTARIUM LACTOBACILLUS  100MG; PARACASEI LACTOBACILLUS   100MG; BIFIDOBACTERIUM BREVE  100MG,182.1,BIFIDOBACTERIUM LONGUM
60 CAP | NADH (NADINA)  3MG; TIROSINA  250MG; IODO QUELADO  250MCG; ZINCO QUELADO  8MG; FERRO QUELADO  10MG; MAGNESIO DIMALATO  150MG; PICOLINATO DE CROMO  200MCG; SELENIO AA COMPLEXO  200MCG; PIRIDOXAL-5-FOSFATO  10MG; VITAMINA B12  250MCG; VITAMINA A  250MCG; VITAMINA C  200MG; VIT D3  2000UI; RIBOFLAVINA  3MG; TOCOTRIENOIS  100MG,257.9,NADH (NADINA)
60 CAP | LEUCINA L  500MG; ISOLEUCINA L  250MG; VALINA L  250MG; VITAMINA B6  75MG,95.7,LEUCINA L
60 CAP | CAFEÍNA  125MG; CACTI-NEA  250MG; CITRUS AURANTIUM EXT SECO  250MG; GYMNEMA SYLVESTRE EXT SECO  250MG,148.3,CAFEÍNA
30 CAP | PEAK O2  1G,213.8,PEAK O2
30 CAP | TEACRINE  80MG; I-PLUS   200MG,125.0,TEACRINE
60 CAP | T3  20MCG; CORTISOL BIOIDENTICO  20MG,85.0,T3
60 CAP | LACTOBACILLUS ACIDOPHILUS  100MG; LACTOBACILLUS GASSERI  100MG; LACTOBACILLUS HELVETICUS  100MG; BIFIDOBACTERIUM LONGUM  100MG; BIFIDOBACTERIUM BREVE  100MG; STREPTOCOCCUS TERMOPHILUS  100MG; INULINA  500MG,129.8,LACTOBACILLUS ACIDOPHILUS
30 CAP | TRIANCINOLONA BASE  8MG; CETIRIZINA  5MG; CIMETIDINE BASE  100MG; VITAMINA C  200MG,95.0,TRIANCINOLONA BASE
60 CAP | VITAMINA A OLEOSA ORAL  800UI; VITAMINA D LIQ CAP ATE 15MIL  2000UI; VITAMINA E OLEOSA ORAL  10MG,43.6,VITAMINA A OLEOSA ORAL
60 CAP | MAGNESIO QUELADO 30%  200MG; CALCIO QUELADO  300MG; ZINCO QUELADO  20MG; THEANINA  100MG,105.7,MAGNESIO QUELADO 30%
60 CAP | 5-HTP  200MG,178.1,5-HTP
90 CAP | TERBINAFINA   250MG,250.5,TERBINAFINA
60 CAP | FERRO QUELADO  60MG; SELENIO QUELADO  150MCG; EXSYNUTRIMENT-SILICIO ORGANICO  50MG; BIOTINA  10MG; VITAMINA E  150MG; ACIDO PANTOTENICO  100MG; ACIDO FOLICO  1MG; VITAMINA B1  25MG; VITAMINA B2  10MG,247.1,FERRO QUELADO
60 CAP | COMPLEXO B 150MG CAPS  150MG,43.6,COMPLEXO B 150MG CAPS
30 CAP | LORATADINA  10MG,39.9,LORATADINA
240 CAP | SULFATO DE ZINCO  66MG,62.8,SULFATO DE ZINCO
60 CAP | MANGANES QUELADO  1MG; ZINCO  15MG; SELENIO QUELADO  50MCG; VIT B2  20MG; NAC  250MG; VIT B6  50MG; METILCOBALAMINA 1:100  500MCG; METILFOLATO 1:10  400MCG; MAGNESIO DIMALATO  250MG,109.0,MANGANES QUELADO
90 CAP | VITAMINA D LIQ CAP ATE 15MIL  7000UI; VITAMINA A OLEOSA ORAL  700UI,53.0,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | CODEINA 0.250MG,39.9,CODEINA 0.
30 CAP | VITAMINA K2 MK7  120MCG; RESVERATROL  50MG; BIOTINA  10MG,95.0,VITAMINA K2 MK7
90 CAP | VITAMINA D  6000UI; COENZIMA Q10 PO  100MG,155.0,VITAMINA D
60 CAP | VITAMINA D LIQ  10000UI; VITAMINA K2 MK7  90MCG; VITAMINA A OLEOSA ORAL  250MCG,53.0,VITAMINA D LIQ
90 CAP | TIROSINA  150MG,52.0,TIROSINA
120 CAP | VITAMINA C  1G; ZINCO  15MG,130.5,VITAMINA C
60 CAP | SIBUTRAMINA CLORIDRATO  8MG,53.4,SIBUTRAMINA CLORIDRATO
60 CAP | LACTOBACILLUS ACIDOPHILUS  200MG; PARACASEI LACTOBACILLUS   100MG; RHAMNOSUS LACTOBACILLUS  200MG; GASSERI LACTOBACILLUS  200MG; BIFIDOBACTERIA BIFIDUM  100MG; BIFIDOBACTERIUM LACTIS  200MG; BIFIDOBACTERIUM LONGUM  100MG; ENTEROCOCCUS FAECIUM  100MG; ESPINHEIRA SANTA PO  120MG; FOS  400MG,242.0,LACTOBACILLUS ACIDOPHILUS
30 CAP | RHAMNOSUS LACTOBACILLUS  200MG; LACTOBACILLUS ACIDOPHILUS  200MG; BULGARICUS LACTOBACILLUS  200MG; CASEI LACTOBACILLUS  200MG; LACTOBACILLUS BIFIDUM  400MG,113.2,RHAMNOSUS LACTOBACILLUS
30 CAP | ZINCO QUELADO  15MG; COENZIMA Q10 PO  100MG; ALANTOINA  300MG; CURCUMA EXT SECO  600MG; PQQ  5MG; MAGNESIO DIMALATO  100MG,236.8,ZINCO QUELADO
30 CAP | MUCUNA PRURIENS  600MG; THEANINA  300MG; RHODIOLA ROSEA EXT SECO  400MG; IOIMBINA CLORIDRATO 5.400MG; ALANTOINA  400MG; CAFEINA BASE ANIDRA  300MG,242.8,MUCUNA PRURIENS
30 CAP | TRIBULUS TERRESTRIS EXT SECO  300MG; MACA PO 10%  100MG; TURKESTERONE  350MG; CARNITINA BASE  250MG,98.7,TRIBULUS TERRESTRIS EXT SECO
60 CAP | TIAMINA  5MG; RIBOFLAVINA  15MG; NICOTINAMIDA  20MG; PANTOTENATO DE CALCIO  20MG; PIRIDOXAL-5-FOSFATO  30MG; METILCOBALAMINA 1:100  15MCG; METILFOLATO 1:10  100MCG; CALCIO QUELADO  125MG; MAGNESIO DIMALATO  250MG; ZINCO QUELADO  7MG; COBRE QUELADO  350MCG; MANGANES QUELADO  2MG; VITAMINA K2 MK7  60MCG,113.3,TIAMINA
90 CAP | T4  10MCG; T3  15MCG,50.0,T4
45 CAP | VITAMINA C REVESTIDA  200MG; PALMITATO DE RETINOL  2000UI; TIAMINA  5MG; RIBOFLAVINA  15MG; NICOTINAMIDA  20MG; PANTOTENATO DE CALCIO  20MG; PIRIDOXAL-5-FOSFATO  50MG; METILCOBALAMINA 1:100  75MCG; METILFOLATO 1:10  400MCG,80.4,VITAMINA C REVESTIDA
30 CAP | CASEI LACTOBACILLUS  100MG; ACIDOPHILUS LACTOBACILLUS  100MG; GASSERI LACTOBACILLUS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; INULINA  300MG,54.3,CASEI LACTOBACILLUS
60 CAP | CALCIO GLICINA  100MG; MAGNESIO GLICINA  150MG; ZINCO GLICINA  10MG; SELENIO AA COMPLEXO  30MCG; BENFOTIAMINE  70MG; PIRIDOXINA  20MG; METILCOBALAMINA   200MCG; RIBOFLAVINA  10MG; NICOTINAMIDA  15MG; PANTOTENATO DE CALCIO  15MG; BIOTINA  250MCG; MANGANES GLICINA  1MG; PICOLINATO DE CROMO  100MCG; COENZIMA Q10  100MG; ACIDO ALFA LIPOICO  50MG; BITARTARATO COLINA  50MG,296.6,CALCIO GLICINA
180 CAP | T4  25MCG; T3  5MCG,50.0,T4
20 CAP | VITAMINA D3  7000UI,39.9,VITAMINA D3
60 CAP | BIOINTESTIL  200MG; CASEARIA SYLVESTRIS  100MG; MAYTENUS ILICIFOLIA  100MG,137.1,BIOINTESTIL
30 CAP | ZINCO QUELADO  15MG; COENZIMA Q10 PO  100MG; CARNITINA L  100MG; ALANTOINA  300MG; CURCUMA EXT SECO  600MG; PQQ  5MG; CAPSIATE  6MG; MAGNESIO DIMALATO  100MG,254.5,ZINCO QUELADO
90 CAP | VITAMINA D3 OLEOSA  2000UI,48.0,VITAMINA D3 OLEOSA
30 CAP | ASHWAGANDHA   500MG,59.0,ASHWAGANDHA
30 CAP | MAGNESIO DIMALATO  900MG,56.6,MAGNESIO DIMALATO
30 CAP | L TAURINA  50MG; L GLICINA  50MG; L THEANINA  50MG,39.9,L TAURINA
60 CAP | N ACETIL L CISTEINA  600MG; SILIMARINA  200MG,87.8,N ACETIL L CISTEINA
240 CAP | VITAMINA B1 4.700MG; VITAMINA B2 4.700MG; VITAMINA B3 28.200MG; VITAMINA B5 28.200MG; VITAMINA B6 18.800MG; VITAMINA B12 117.500MCG; ACIDO FOLICO 117.500MCG; INOSITOL 9.170MG,115.3,VITAMINA B1 4.
60 CAP | TRIIODOTIRONINA (T3) 1:1000  15MCG,44.0,TRIIODOTIRONINA (T3) 1:1000
36 CAP | VITAMINA A   50000UI,44.0,VITAMINA A
30 CAP | MELATONINA SLOW RELEASE  3MG; ZINCO QUELADO  12MG; SELENIO QUELADO  65MCG,44.3,MELATONINA SLOW RELEASE
60 CAP | VALERIANA  200MG; PASSIFLORA  200MG,67.1,VALERIANA
90 CAP | BIFIDOBACTERIA BIFIDUM   100MG; BIFIDOBACTERIUM LACTIS  100MG; BIFIDOBACTERIUM INFANTIS  50MG; ACIDOPHILUS LACTOBACILLUS  80MG; CRISPATUS LACTOBACILLUS   50MG; HELVETICUS LACTOBACILLUS  70MG; JOHNSONII LACTOBACILLUS  50MG; REUTERI LACTOBACILLUS  80MG; STREPTOCOCCUS TERMOPHILUS  30MG,163.0,BIFIDOBACTERIA BIFIDUM
90 CAP | BETAINA HCL  150MG,47.5,BETAINA HCL
90 CAP | MAGNESIO TREONATO  500MG,144.0,MAGNESIO TREONATO
30 CAP | RESVERATROL  50MG; PINUS PINASTER EXTRACT  50MG,59.5,RESVERATROL
30 CAP | VITAMINA B6  100MG; L ARGININA  200MG; SILIMARINA EXT SECO  200MG,58.4,VITAMINA B6
30 CAP | INDOL 3 CARBINOL  200MG; VITAMINA B6  20MG; ZINCO QUELADO  20MG; ACIDO LIPOICO  200MG; CROMO GTF  200MCG; VANADIO QUELADO  100MCG; COENZIMA Q10 PO  100MG,167.6,INDOL 3 CARBINOL
30 CAP | VITAMINA D  10000UI; VITAMINA K2 MK7  160MCG; VITAMINA A  1000UI,40.7,VITAMINA D
240 CAP | VITAMINA C  500MG,117.0,VITAMINA C
90 CAP | ALECRIM EXT SECO  50MG; BOLDO  100MG; PEPSINA  100MG; PROTEASE  50MG; TAURINA  100MG; PAPAINA  50MG; BROMELINA  50MG,185.7,ALECRIM EXT SECO
80 CAP | ORLISTAT  120MG; SERTRALINA   25MG; VITAMINA D3  2000UI; ZINCO QUELADO  15MG; VITAMINA B  100MG; VITAMINA C  100MG; VITAMINA B6  100MG,286.0,ORLISTAT
180 CAP | VITAMINA D3  70000UI,60.0,VITAMINA D3
120 CAP | METFORMINA  250MG,49.5,METFORMINA
240 CAP | COMPLEXO B 100MG CAPS  100MG,70.0,COMPLEXO B 100MG CAPS
60 CAP | ENALAPRIL  20MG; ANLODIPINA   5MG,50.9,ENALAPRIL
30 CAP | CURCUMA LONGA  250MG; 5HTP  50MG; VITAMINA B1  10MG; VITAMINA B3  15MG; VITAMINA B6  20MG; METILFOLATO   200MCG; METILCOBALAMINA   5MCG; ZINCO  10MG; CITRATO DE MAGNESIO  300MG,84.0,CURCUMA LONGA
60 CAP | MAGNESIO DIMALATO  150MG; MAGNESIO GLICINATO  150MG; ZINCO QUELADO  10MG; SELENIO QUELADO  35MCG; CROMO GTF  50MCG; TIAMINA  25MG; RIBOFLAVINA  10MG; NIACINA NO FLUSH  25MG; ACIDO PANTOTENICO  50MG; PIRIDOXAL-5-FOSFATO  10MG; METILFOLATO 1:10  100MCG; METILCOBALAMINA 1:100  50MCG; NAC  100MG,104.8,MAGNESIO DIMALATO
60 CAP | CARNITINA L  1G; PICOLINATO DE CROMO  50MCG,127.8,CARNITINA L
60 CAP | CAMELIA SINENSIS  500MG; GARCINIA CAMBOJA EXT SECO  500MG,108.1,CAMELIA SINENSIS
8 CAP | VITAMINA D3 1:100  10000UI; VITAMINA K2 MK7  80MCG,40.0,VITAMINA D3 1:100
60 CAP | TANSULOSINA 0.400MG,68.1,TANSULOSINA 0.
90 CAP | T4  100MCG; T3  15MCG,47.5,T4
30 CAP | C T II  40MG; DIACEREINA  50MG,88.2,C T II
120 CAP | DIM  80MG,112.7,DIM
120 CAP | N ACETIL L CISTEINA  500MG; SILIMARINA  200MG,131.2,N ACETIL L CISTEINA
60 CAP | VIT B1  50MG; VIT B2  10MG; VITAMINA B3  20MG; VIT B5  50MG; VIT B6  15MG; VITAMINA B7  1MG; VIT C  125MG; ZINCO QUELATO  10MG; COBRE QUELATO  1MG; PICOLINATO CROMO 1:10  200MCG; FERRO QUELATO  10MG; MANGANES QUELATO  2MG; SELENIO QUELATO  50MCG; CALCIO QUELATO  150MG; POTASSIO QUELATO  15MG; BORO QUELATO  1MG; COLINA BITARTARATO  50MG; INOSITOL  25MG,108.5,VIT B1
120 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  15000UI; VITAMINA A  1000UI,49.5,VITAMINA D LIQ CAP ACIMA 15MIL
240 CAP | BETAINA CLORIDRATO  300MG,93.0,BETAINA CLORIDRATO
30 CAP | VITAMINA D   10000UI; VITAMINA K2 LIP  120MCG; VITAMINA A  3000UI,39.9,VITAMINA D
360 CAP | HIDROCORTISONA BASE  6MG,141.0,HIDROCORTISONA BASE
30 CAP | RESVERATROL  100MG; PINUS PINASTER EXTRACT  100MG; RHODIOLA ROSEA EXT SECO  200MG; ZINCO  20MG,120.8,RESVERATROL
120 CAP | T4 28.500MCG; T3  6MCG,49.5,T4 28.
135 CAP | PICOLINATO DE CROMO  70MCG; 5-HTP  70MG; L THEANINA  70MG,170.0,PICOLINATO DE CROMO
30 CAP | RAMIPRIL  5MG; HIDROCLOROTIAZIDA  25MG; ATORVASTATINA  20MG; ANLODIPINA  10MG; CIPROFIBRATO  100MG,197.8,RAMIPRIL
30 CAP | FEMPROPOREX  30MG,135.9,FEMPROPOREX
60 CAP | CACTI-NEA  1G,189.0,CACTI-NEA
120 CAP | RHODIOLA ROSEA   200MG; WITHANIA SOMNIFERA  120MG,129.0,RHODIOLA ROSEA
90 CAP | PEPSINA  200MG; BETAINA HCL  200MG,200.0,PEPSINA
120 CAP | LACTOBACILLUS ACIDOFILUS  50MG; LACTOBACILLUS RHAMNOSUS  50MG; LACTOBACILLUS BULGARICUS  50MG; L GLUTAMINA  500MG,100.0,LACTOBACILLUS ACIDOFILUS
12 CAP | VITAMINA D3 1:100  1000UI,39.9,VITAMINA D3 1:100
60 CAP | QUERCETINA  500MG; RESVERATROL  100MG,230.0,QUERCETINA
180 CAP | MAGNESIO DI MALATO  280MG,85.9,MAGNESIO DI MALATO
30 CAP | MULUNGU   200MG; VALERIANA  200MG; PASSIFLORA  200MG,48.0,MULUNGU
30 CAP | LACTOBACILLUS REUTERI  80MG; LACTOBACILLUS ACIDOFILUS  60MG; LACTOBACILLUS BULGARICUS  60MG; LACTOBACILLUS RHAMNOSUS  80MG; BIFIDOBACTERIUM BREVE  80MG; BIFIDOBACTERIA BIFIDUM  80MG; ENTEROCOCCUS FAECIUM  80MG,65.5,LACTOBACILLUS REUTERI
60 CAP | GOJI BERRY  300MG; ALCAÇUZ   100MG; CLORELLA   250MG; SILIMARINA  100MG; CARQUEJA  120MG; CAVALINHA  120MG,160.0,GOJI BERRY
60 CAP | QUERCETINA  250MG,77.0,QUERCETINA
60 CAP | CROMO PICOLINATO  800MCG,44.0,CROMO PICOLINATO
60 CAP | VITAMINA C REVESTIDA  600MG,50.1,VITAMINA C REVESTIDA
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA A OLEOSA ORAL  1000UI; VITAMINA K2 SOL MAE  100MCG,50.0,VITAMINA D LIQ CAP ATE 15MIL
60 CAP | ACETIL L-CARNITINA HCL  250MG; ACIDO ALFA LIPOICO  150MG; PQQ  10MG,177.0,ACETIL L-CARNITINA HCL
90 CAP | BISGLICINATO FERRO  60MG; VITAMINA C TOTAL  500MG; COBRE QUELADO  1MG; RIBOFLAVINA  10MG; ACIDO FOLINICO  1MG; METILFOLATO   400MCG; VITAMINA B12  400MCG; TAURATO DE MAGNESIO  150MG; LACTOFERRINA  150MG,845.0,BISGLICINATO FERRO
30 CAP | MAGNESIO QUELADO 30%  150MG,40.0,MAGNESIO QUELADO 30%
30 CAP | ACIDO ALFA LIPOICO  150MG; VITAMINA C  250MG,50.0,ACIDO ALFA LIPOICO
180 CAP | BICARBONATO DE SODIO  500MG,50.0,BICARBONATO DE SODIO
30 CAP | CAVALINHA  120MG; CITRUS AURANTIUM   500MG; FASEOLAMINA  300MG,72.0,CAVALINHA
60 CAP | ZEMBRIN   4MG; SAFFRIN  88MG; MOROSIL  250MG,245.0,ZEMBRIN
90 CAP | 5HTP  50MG; L THEANINA  50MG,100.0,5HTP
30 CAP | PERSEA GRATISSIMA  150MG; GLICINE MAXI 150MG  60MG; MOVE  100MG,152.0,PERSEA GRATISSIMA
30 CAP | LACTOBACILLUS ACIDOPHILUS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; BULGARICUS LACTOBACILLUS  100MG; CASEI LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  100MG; STREPTOCOCCUS TERMOPHILUS  100MG,71.0,LACTOBACILLUS ACIDOPHILUS
30 CAP | IOIMBINA CLORIDRATO  5MG; TAURINA  800MG; TEACRINE  50MG,65.0,IOIMBINA CLORIDRATO
60 CAP | CORTISOL BIOIDENTICO  20MG; PRASTERONA  15MG; T4  25MCG; T3  10MCG,178.0,CORTISOL BIOIDENTICO
120 CAP | CASCARA SAGRADA EXT SECO  150MG,50.0,CASCARA SAGRADA EXT SECO
30 CAP | THEANINA  100MG; NADH (NADINA)  5MG,69.7,THEANINA
30 CAP | VITAMINA D OLEOSA  20000UI; VIT A OLEOSA  2000UI; VITAMINA K2 LIQ SOL MAE  120MCG,39.9,VITAMINA D OLEOSA
180 CAP | IRVINGIA GABONESIS EXT SECO  200MG; CENTELLA ASIATICA EXT SECO  100MG; CAVALINHA  100MG; FUCUS VESICULOSUS PO  100MG; CARQUEJA PO  100MG,146.8,IRVINGIA GABONESIS EXT SECO
30 CAP | METILFOLATO 1:10  200MCG; VIT B6  50MG; METILCOBALAMINA 1:100  500MCG; N ACETIL L CISTEINA  300MG; BIOTINA  5MG; ACIDO ALFA LIPOICO  50MG,78.7,METILFOLATO 1:10
90 CAP | MIX RIGHT MISTURA (COMPRA) 1.500G,176.1,MIX RIGHT MISTURA (COMPRA) 1.
30 CAP | COLAGENO VERISOL 2.500G; SABOR LIMAO  1G; PO P/ REFRESCO S/ MALTODEX 4.500G,142.0,COLAGENO VERISOL 2.
60 CAP | ALPRAZOLAM 0.500MG,43.6,ALPRAZOLAM 0.
48 CAP | VITAMINA D3 1:100  7000UI,43.6,VITAMINA D3 1:100
30 CAP | DOXAZOSINA   4MG,40.0,DOXAZOSINA
30 CAP | TADALAFYL  5MG,40.0,TADALAFYL
90 CAP | CURCUMA EXT SECO  400MG,136.7,CURCUMA EXT SECO
120 CAP | CARNITINA BASE  500MG; MAGNESIO GLICINA  100MG; COENZIMA Q10 PO  50MG; PICOLINATO DE CROMO  150MCG,225.1,CARNITINA BASE
48 CAP | VITAMINA D  7000UI,43.6,VITAMINA D
60 CAP | ASHWAGANDHA   350MG; PASSIFLORA  200MG; MELISSA EXT SECO  200MG; VALERIANA  200MG,155.0,ASHWAGANDHA
90 CAP | DOXEPINA CLORIDRATO  25MG,132.6,DOXEPINA CLORIDRATO
60 CAP | VITAMINA C  1G; MAGNESIO TREONATO  300MG; METILCOBALAMINA 1:100  600MCG,133.9,VITAMINA C
